Location,Link,Price (€),Area (m²),Hab
"Estació del Nord, Mollet del Vallès",https://www.idealista.com/obra-nueva/104428405/inmueble/108150438/,276100 ,70 ,2 
"Estació del Nord, Mollet del Vallès",https://www.idealista.com/obra-nueva/104428405/inmueble/108150460/,284900 ,83 ,3 
"Estació del Nord, Mollet del Vallès",https://www.idealista.com/obra-nueva/104428405/inmueble/108150449/,289300 ,81 ,2 
"Estació del Nord, Mollet del Vallès",https://www.idealista.com/obra-nueva/104428405/inmueble/108150440/,300300 ,89 ,3 
"Estació del Nord, Mollet del Vallès",https://www.idealista.com/obra-nueva/104428405/inmueble/108150450/,300300 ,75 ,3 
"Estació del Nord, Mollet del Vallès",https://www.idealista.com/obra-nueva/104428405/inmueble/108150413/,305800 ,78 ,2 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108788940/,227574 ,69 ,2 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108789003/,235562 ,71 ,2 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108788975/,247562 ,83 ,2 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108789004/,257422 ,86 ,3 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108789028/,285555 ,84 ,3 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108789027/,285555 ,84 ,3 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108789020/,293555 ,84 ,3 
"Barceloneta - Molí d'En Rovira, Vilafranca del Penedès",https://www.idealista.com/obra-nueva/108785390/inmueble/108788973/,293555 ,84 ,3 
"Centre, El Prat de Llobregat",https://www.idealista.com/obra-nueva/107727485/inmueble/108450442/,230000 ,54 ,1 
"Centre, El Prat de Llobregat",https://www.idealista.com/obra-nueva/107727485/inmueble/107729159/,410000 ,92 ,4 
"Centre, El Prat de Llobregat",https://www.idealista.com/obra-nueva/107727485/inmueble/107729293/,425000 ,92 ,4 
