Link,Price (€),Area (m²),Hab,Location
https://www.idealista.com/inmueble/106320998/,190061,85,2,"Montflorit-Plana del Castell, Cerdanyola del Vallès"
https://www.idealista.com/inmueble/106749736/,200000,72,2,"Horta Guinardó, Barcelona"
https://www.idealista.com/inmueble/102546864/,229000,86,2,"Les Planes, Sant Joan Despí"
https://www.idealista.com/inmueble/91303204/,179000,73,2,"Pubilla Cases, Hospitalet de Llobregat"
https://www.idealista.com/inmueble/106148139/,215000,70,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/106715062/,225000,76,2,"Sant Andreu, Barcelona"
https://www.idealista.com/inmueble/100391306/,149000,79,1,"Centre, Mataró"
https://www.idealista.com/inmueble/105654162/,228000,75,2,"Les Roquetes, Barcelona"
https://www.idealista.com/inmueble/103568657/,226000,80,2,La Palma de Cervelló
https://www.idealista.com/inmueble/106256591/,194500,83,2,"Barri Antic - Centre, Viladecans"
https://www.idealista.com/inmueble/106686752/,145000,72,2,"La Font d'En Fargues, Barcelona"
https://www.idealista.com/inmueble/104798062/,187000,87,2,"La Salut, Badalona"
https://www.idealista.com/inmueble/106746065/,155000,72,2,"Collblanc, Hospitalet de Llobregat"
https://www.idealista.com/inmueble/106552776/,150000,71,2,"Escorxador - El Palau, Mataró"
https://www.idealista.com/inmueble/106583956/,139000,73,2,"Fondo, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/105913062/,227000,79,2,"Santa Eulàlia, Hospitalet de Llobregat"
https://www.idealista.com/inmueble/105801016/,210000,87,2,La Roca del Vallès
https://www.idealista.com/inmueble/101205183/,190000,71,2,"El Raval, Barcelona"
https://www.idealista.com/inmueble/105946345/,183500,75,2,Montornès del Vallès
https://www.idealista.com/inmueble/106187685/,210000,82,2,"El Besòs, Barcelona"
https://www.idealista.com/inmueble/106321334/,197000,73,2,"Horta, Barcelona"
https://www.idealista.com/inmueble/106551534/,230000,107,2,"Eixample, El Prat de Llobregat"
https://www.idealista.com/inmueble/105911013/,200000,81,2,"Escorxador - El Palau, Mataró"
https://www.idealista.com/inmueble/106389835/,236000,78,2,"Can Baró, Barcelona"
https://www.idealista.com/inmueble/95648470/,207500,83,2,"Centre - Casco Antiguo, Sant Boi de Llobregat"
https://www.idealista.com/inmueble/106356053/,194500,83,2,Viladecans
https://www.idealista.com/inmueble/106206180/,179000,72,2,"Barri Antic - Centre, Viladecans"
https://www.idealista.com/inmueble/104399814/,185500,110,2,"Cerdanyola nord, Mataró"
https://www.idealista.com/inmueble/106362596/,220000,73,2,"Parc Empresarial, Viladecans"
https://www.idealista.com/inmueble/103909242/,235000,76,2,"Provençals del Poblenou, Barcelona"
https://www.idealista.com/inmueble/105980559/,229000,85,2,"Les Planes, Sant Joan Despí"
https://www.idealista.com/inmueble/105980394/,165000,71,1,"Llefià, Badalona"
https://www.idealista.com/inmueble/103787991/,114000,71,2,"Cerdanyola sur, Mataró"
https://www.idealista.com/inmueble/106590904/,220000,96,2,"Sant Joan Baptista, Sant Adriá de Besós"
https://www.idealista.com/inmueble/103474765/,235000,79,2,"La Marina del Port, Barcelona"
https://www.idealista.com/inmueble/105924641/,229000,70,2,"Les Planes, Sant Joan Despí"
https://www.idealista.com/inmueble/106497296/,212000,75,2,"El Carmel, Barcelona"
https://www.idealista.com/inmueble/103819320/,191000,79,2,Santa Perpètua de Mogoda
https://www.idealista.com/inmueble/106291164/,236000,78,2,"Can Baró, Barcelona"
https://www.idealista.com/inmueble/106653587/,236000,100,2,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/103794293/,236000,78,2,"Can Baró, Barcelona"
https://www.idealista.com/inmueble/106499203/,179900,72,1,"El Raval, Barcelona"
