Link,Price (€),Area (m²),Hab,Location
https://www.idealista.com/inmueble/105934563/,68000,Urbano (solar),124 m²,"Les Roquetes, Barcelona"
https://www.idealista.com/inmueble/107438420/,68000,Urbano (solar),124 m²,"La Guineueta, Barcelona"
https://www.idealista.com/inmueble/105932977/,68000,Urbano (solar),150 m²,"La Pau, Badalona"
https://www.idealista.com/inmueble/103148699/,68000,Urbano (solar),435 m²,Cervelló
https://www.idealista.com/inmueble/107929615/,69000,Urbano (solar),500 m²,Corbera de Llobregat
https://www.idealista.com/inmueble/101767593/,69500,Urbano (solar),429 m²,Montcada i Reixac
https://www.idealista.com/inmueble/88384099/,70000,Urbano (solar),176 m²,"Baix Llobregat Sud, Barcelona"
https://www.idealista.com/inmueble/106094825/,70000,Urbano (solar),387 m²,Vallirana
https://www.idealista.com/inmueble/105673490/,70000,Urbano (solar),122 m²,Torrelles de Llobregat
https://www.idealista.com/inmueble/107175575/,70000,Urbano (solar),403 m²,"Baix Llobregat Sud, Barcelona"
https://www.idealista.com/inmueble/105056984/,70000,Urbanizable,312 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/107760322/,71000,Urbano (solar),364 m²,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona"
https://www.idealista.com/inmueble/106722875/,71100,N/A,333 m²,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona"
https://www.idealista.com/inmueble/104800089/,72900,Urbanizable,466 m²,Corbera de Llobregat
https://www.idealista.com/inmueble/108274468/,74900,Urbano (solar),168 m²,Vallirana
https://www.idealista.com/inmueble/81616622/,74900,Urbano (solar),401 m²,Vallirana
https://www.idealista.com/inmueble/107786313/,75000,Urbano (solar),447 m²,Corbera de Llobregat
https://www.idealista.com/inmueble/29324829/,75000,Urbanizable,227 m²,"Ciutat Meridiana - Torre Baró - Vallbona, Barcelona"
https://www.idealista.com/inmueble/83550906/,77000,Urbano (solar),312 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/108655781/,80000,Urbanizable,288 m²,Molins de Rei
https://www.idealista.com/inmueble/100654142/,80000,Urbano (solar),472 m²,"Vallès Oriental, Barcelona"
https://www.idealista.com/inmueble/108852902/,80000,Urbanizable,413 m²,Sant Pere de Ribes
https://www.idealista.com/inmueble/101441978/,80200,N/A,145 m²,"El Raval, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/108846377/,80200,Urbano (solar),145 m²,"El Raval, Santa Coloma de Gramenet"
https://www.idealista.com/inmueble/105175281/,80900,Urbano (solar),220 m²,Martorelles
https://www.idealista.com/inmueble/103834854/,83000,Urbanizable,500 m²,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/107439094/,84000,Urbano (solar),131 m²,"La Pau, Badalona"
https://www.idealista.com/inmueble/107439094/,84000,Urbano (solar),131 m²,"La Pau, Badalona"
https://www.idealista.com/inmueble/107534082/,84000,Urbano (solar),260 m²,"La Pau, Badalona"
https://www.idealista.com/inmueble/96072433/,84000,Urbano (solar),403 m²,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/107048535/,84000,N/A,130 m²,"La Salut - Lloreda - Sistrells, Badalona"
https://www.idealista.com/inmueble/100478237/,84000,N/A,130 m²,"La Pau, Badalona"
https://www.idealista.com/inmueble/104105902/,85000,Urbanizable,202 m²,"Llefià, Badalona"
https://www.idealista.com/inmueble/108013358/,85000,Urbanizable,202 m²,"Llefià, Badalona"
https://www.idealista.com/inmueble/106436849/,86000,Urbano (solar),220 m²,Sant Vicenç Dels Horts
https://www.idealista.com/inmueble/108743533/,89000,Urbano (solar),455 m²,"Baix Llobregat Sud, Barcelona"
https://www.idealista.com/inmueble/108842462/,89000,Urbano (solar),455 m²,Olesa de Bonesvalls
https://www.idealista.com/inmueble/105403204/,89000,No urbanizable,500 m²,Montcada i Reixac
https://www.idealista.com/inmueble/107093054/,89840,Urbano (solar),455 m²,Olesa de Bonesvalls
https://www.idealista.com/inmueble/107175564/,89840,Urbano (solar),455 m²,"Baix Llobregat Sud, Barcelona"
https://www.idealista.com/inmueble/107737372/,90000,Urbano (solar),381 m²,Vallirana
https://www.idealista.com/inmueble/105439691/,90000,Urbano (solar),268 m²,"Baix Llobregat Sud, Barcelona"
https://www.idealista.com/inmueble/107383640/,90000,Urbano (solar),443 m²,Sant Pere de Ribes
https://www.idealista.com/inmueble/104229394/,90000,N/A,435 m²,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/104229389/,90000,N/A,400 m²,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/104229393/,90000,N/A,456 m²,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/104229390/,90000,N/A,429 m²,"Baix Llobregat Nord, Barcelona"
https://www.idealista.com/inmueble/106266483/,90000,Urbano (solar),106 m²,"La Trinitat Vella, Barcelona"
https://www.idealista.com/inmueble/105268460/,90000,N/A,106 m²,"La Trinitat Vella, Barcelona"
https://www.idealista.com/inmueble/104332180/,90000,Urbano (solar),106 m²,"La Trinitat Vella, Barcelona"
https://www.idealista.com/inmueble/107438344/,90000,Urbano (solar),106 m²,"La Trinitat Vella, Barcelona"
https://www.idealista.com/inmueble/107683374/,90000,Urbano (solar),106 m²,"La Trinitat Vella, Barcelona"
https://www.idealista.com/inmueble/105812810/,90000,Urbano (solar),108 m²,"Sant Andreu, Barcelona"
